Ticket Description,Ticket Type
"Mi cuenta se cierra sola y recibo un mensaje de error","Soporte Técnico"
"El reporte de gastos no se genera y aparece un error interno","Soporte Técnico"
"No puedo subir mi documento porque el sistema lo rechaza","Soporte Técnico"
"El macro en la hoja de cálculo falla con un error de tiempo de ejecución","Soporte Técnico"
"Necesito ayuda técnica urgente, la plataforma no responde","Soporte Técnico"
"Tengo un problema con la actualización automática del software","Soporte Técnico"
"El menú principal se muestra vacío y no puedo navegar","Soporte Técnico"
"¿A quién puedo contactar para aclarar una duda sobre facturación?","Consulta General"
"Necesito saber si mi cancelación ya fue procesada","Consulta General"
"¿Puedo cambiar la frecuencia de facturación de mi servicio?","Consulta General"
"Explíqueme cómo solicitar acceso para un usuario adicional","Consulta General"
"¿Cuál es el proceso para recuperar un archivo eliminado?","Consulta General"
"Tengo una pregunta sobre el descuento promesa","Consulta General"
"¿Puedo actualizar mi plan sin perder mis datos actuales?","Consulta General"
"¿Se puede borrar mi historial de uso de la plataforma?","Consulta General"
"Necesito una aclaración sobre la factura proforma enviada","Consulta General"
"El cargo en mi factura no corresponde al servicio contratado","Facturación"
"Quiero cancelar la renovación automática de mi suscripción","Cancelación"
"Por favor eliminen mi cuenta y toda la información personal asociada","Cancelación"
"Estoy presentando una queja formal por la falta de respuesta","Queja"
"La aplicación muestra un error al intentar cambiar mi plan","Soporte Técnico"
"Mi pago no aparece y la factura no se genera correctamente","Facturación"
"¿Cómo puedo borrar mi perfil sin perder datos importantes?","Cancelación"
"No encontré la opción para actualizar mi número de teléfono","Consulta General"
"El problema con el servidor persiste y no obtengo solución","Queja"
"El sistema me envía un cargo incorrecto cada mes","Facturación"
"Deseo cancelar mi cuenta porque tengo problemas con el servicio","Cancelación"
"Quiero presentar una queja por el mal funcionamiento del producto","Queja"
"El software no guarda mis cambios y aparece un error","Soporte Técnico"
"¿Pueden indicarme cómo cambiar mi correo electrónico registrado?","Consulta General"
"El servicio sigue facturándome después de pedir la baja","Facturación"
"El botón de confirmación no responde en el formulario de compra","Soporte Técnico"
"Necesito ayuda para cancelar la suscripción antes de la próxima fecha de pago","Cancelación"
"La condición de mi contrato no coincide con lo acordado","Queja"
"No sé cómo borrar mis datos del sistema, necesito guía","Cancelación"
"El carrito de compras no avanza y marca un error de procesador","Soporte Técnico"
"Mi factura no incluye la promoción prometida por el vendedor","Facturación"
"¿Cómo puedo consultar el estado de mi solicitud de cancelación?","Consulta General"
"La atención telefónica fue mala y esto amerita una queja","Queja"
"Por favor eliminen mi tarjeta de crédito de la cuenta","Cancelación"
"El módulo de usuarios no permite asignar permisos correctamente","Soporte Técnico"
"La aplicación muestra un mensaje de error al cargar el perfil","Soporte Técnico"
"Necesito saber si mi factura ya fue enviada al correo","Consulta General"
"El cobro adicional no fue autorizado y exijo corrección","Facturación"
"Quiero cancelar mi plan sin penalización de pago","Cancelación"
"Presento mi queja porque no resolvieron mi solicitud en tiempo","Queja"
"¿Cómo accedo a mis facturas anteriores en el portal?","Consulta General"
"El sistema no me deja completar el pago y da un error","Soporte Técnico"
"La plataforma marca error al procesar la facturación automática","Facturación"
"Quisiera cancelar el servicio y que no me vuelvan a cobrar","Cancelación"
"El producto llegó mal, y necesito abrir una queja formal","Queja"
"¿Puedo borrar mi cuenta y los registros asociados ahora mismo?","Cancelación"
"La búsqueda en el sistema no funciona y aparece un error","Soporte Técnico"
"Mi factura muestra un cargo de IVA que no reconozco","Facturación"
"Tengo dudas sobre la vigencia de mi contrato actual","Consulta General"
"El servicio fue cancelado pero sigo recibiendo cargos","Facturación"
"Solicito eliminar mi perfil porque ya no deseo usar la plataforma","Cancelación"
"Quiero presentar una queja por la mala atención recibida","Queja"
